"skill_id","skills","demand_count","avg_salary"
2,"nosql","24","167081"
98,"kafka","29","166420"
212,"terraform","20","166420"
215,"flow","11","151239"
216,"github","11","150896"
81,"gcp","27","146239"
97,"hadoop","17","144243"
78,"redshift","22","142910"
77,"bigquery","17","140499"
80,"snowflake","26","138088"
92,"spark","101","134029"
3,"scala","19","126500"
74,"azure","75","123144"
76,"aws","84","121441"
96,"airflow","34","111202"
95,"pyspark","18","111184"
93,"pandas","18","108413"
210,"git","35","108088"
14,"c#","11","107769"
182,"tableau","41","102837"
